,MTU (CET/CEST),Day-ahead Price [EUR/MWh],Currency,BZN|SE3
3846,10.06.2023 06:00 - 10.06.2023 07:00,26.69,EUR,
3847,10.06.2023 07:00 - 10.06.2023 08:00,36.14,EUR,
3848,10.06.2023 08:00 - 10.06.2023 09:00,39.91,EUR,
3849,10.06.2023 09:00 - 10.06.2023 10:00,39.53,EUR,
3850,10.06.2023 10:00 - 10.06.2023 11:00,25.61,EUR,
3851,10.06.2023 11:00 - 10.06.2023 12:00,12.91,EUR,
3852,10.06.2023 12:00 - 10.06.2023 13:00,4.56,EUR,
3853,10.06.2023 13:00 - 10.06.2023 14:00,13.32,EUR,
3854,10.06.2023 14:00 - 10.06.2023 15:00,8.57,EUR,
3855,10.06.2023 15:00 - 10.06.2023 16:00,10.35,EUR,
3856,10.06.2023 16:00 - 10.06.2023 17:00,13.65,EUR,
3857,10.06.2023 17:00 - 10.06.2023 18:00,33.39,EUR,
3858,10.06.2023 18:00 - 10.06.2023 19:00,42.39,EUR,
3859,10.06.2023 19:00 - 10.06.2023 20:00,42.85,EUR,
3860,10.06.2023 20:00 - 10.06.2023 21:00,41.53,EUR,
3861,10.06.2023 21:00 - 10.06.2023 22:00,34.99,EUR,
3862,10.06.2023 22:00 - 10.06.2023 23:00,24.04,EUR,
3863,10.06.2023 23:00 - 11.06.2023 00:00,17.53,EUR,
3864,11.06.2023 00:00 - 11.06.2023 01:00,10.93,EUR,
3865,11.06.2023 01:00 - 11.06.2023 02:00,4.52,EUR,
3866,11.06.2023 02:00 - 11.06.2023 03:00,4.53,EUR,
3867,11.06.2023 03:00 - 11.06.2023 04:00,4.66,EUR,
3868,11.06.2023 04:00 - 11.06.2023 05:00,7.49,EUR,
3869,11.06.2023 05:00 - 11.06.2023 06:00,9.54,EUR,
3870,11.06.2023 06:00 - 11.06.2023 07:00,16.9,EUR,
3871,11.06.2023 07:00 - 11.06.2023 08:00,20.47,EUR,
3872,11.06.2023 08:00 - 11.06.2023 09:00,28.44,EUR,
3873,11.06.2023 09:00 - 11.06.2023 10:00,15.9,EUR,
3874,11.06.2023 10:00 - 11.06.2023 11:00,0.01,EUR,
3875,11.06.2023 11:00 - 11.06.2023 12:00,-1.68,EUR,
3876,11.06.2023 12:00 - 11.06.2023 13:00,-3.46,EUR,
3877,11.06.2023 13:00 - 11.06.2023 14:00,-5.06,EUR,
3878,11.06.2023 14:00 - 11.06.2023 15:00,-5.09,EUR,
3879,11.06.2023 15:00 - 11.06.2023 16:00,-5.24,EUR,
3880,11.06.2023 16:00 - 11.06.2023 17:00,-0.1,EUR,
3881,11.06.2023 17:00 - 11.06.2023 18:00,18.01,EUR,
3882,11.06.2023 18:00 - 11.06.2023 19:00,19.05,EUR,
3883,11.06.2023 19:00 - 11.06.2023 20:00,26.94,EUR,
3884,11.06.2023 20:00 - 11.06.2023 21:00,20.58,EUR,
3885,11.06.2023 21:00 - 11.06.2023 22:00,19.07,EUR,
3886,11.06.2023 22:00 - 11.06.2023 23:00,18.68,EUR,
3887,11.06.2023 23:00 - 12.06.2023 00:00,17.39,EUR,
3888,12.06.2023 00:00 - 12.06.2023 01:00,18.31,EUR,
3889,12.06.2023 01:00 - 12.06.2023 02:00,18.16,EUR,
3890,12.06.2023 02:00 - 12.06.2023 03:00,18.19,EUR,
3891,12.06.2023 03:00 - 12.06.2023 04:00,18.68,EUR,
3892,12.06.2023 04:00 - 12.06.2023 05:00,25.53,EUR,
3893,12.06.2023 05:00 - 12.06.2023 06:00,32.26,EUR,
3894,12.06.2023 06:00 - 12.06.2023 07:00,41.19,EUR,
3895,12.06.2023 07:00 - 12.06.2023 08:00,44.99,EUR,
3896,12.06.2023 08:00 - 12.06.2023 09:00,47.91,EUR,
3897,12.06.2023 09:00 - 12.06.2023 10:00,44.91,EUR,
3898,12.06.2023 10:00 - 12.06.2023 11:00,42.38,EUR,
3899,12.06.2023 11:00 - 12.06.2023 12:00,40.44,EUR,
3900,12.06.2023 12:00 - 12.06.2023 13:00,39.27,EUR,
3901,12.06.2023 13:00 - 12.06.2023 14:00,36.8,EUR,
3902,12.06.2023 14:00 - 12.06.2023 15:00,31.79,EUR,
3903,12.06.2023 15:00 - 12.06.2023 16:00,28.84,EUR,
3904,12.06.2023 16:00 - 12.06.2023 17:00,28.91,EUR,
3905,12.06.2023 17:00 - 12.06.2023 18:00,33.51,EUR,
3906,12.06.2023 18:00 - 12.06.2023 19:00,36.48,EUR,
3907,12.06.2023 19:00 - 12.06.2023 20:00,36.42,EUR,
3908,12.06.2023 20:00 - 12.06.2023 21:00,34.1,EUR,
3909,12.06.2023 21:00 - 12.06.2023 22:00,23.17,EUR,
3910,12.06.2023 22:00 - 12.06.2023 23:00,17.32,EUR,
3911,12.06.2023 23:00 - 13.06.2023 00:00,10.06,EUR,
3912,13.06.2023 00:00 - 13.06.2023 01:00,4.54,EUR,
3913,13.06.2023 01:00 - 13.06.2023 02:00,8.1,EUR,
3914,13.06.2023 02:00 - 13.06.2023 03:00,8.1,EUR,
3915,13.06.2023 03:00 - 13.06.2023 04:00,11.33,EUR,
3916,13.06.2023 04:00 - 13.06.2023 05:00,14.16,EUR,
3917,13.06.2023 05:00 - 13.06.2023 06:00,18.43,EUR,
3918,13.06.2023 06:00 - 13.06.2023 07:00,41.68,EUR,
3919,13.06.2023 07:00 - 13.06.2023 08:00,55.21,EUR,
3920,13.06.2023 08:00 - 13.06.2023 09:00,55.91,EUR,
3921,13.06.2023 09:00 - 13.06.2023 10:00,56.11,EUR,
3922,13.06.2023 10:00 - 13.06.2023 11:00,55.48,EUR,
3923,13.06.2023 11:00 - 13.06.2023 12:00,54.19,EUR,
3924,13.06.2023 12:00 - 13.06.2023 13:00,54.44,EUR,
3925,13.06.2023 13:00 - 13.06.2023 14:00,50.2,EUR,
3926,13.06.2023 14:00 - 13.06.2023 15:00,48.5,EUR,
3927,13.06.2023 15:00 - 13.06.2023 16:00,55.32,EUR,
3928,13.06.2023 16:00 - 13.06.2023 17:00,55.97,EUR,
3929,13.06.2023 17:00 - 13.06.2023 18:00,57.86,EUR,
3930,13.06.2023 18:00 - 13.06.2023 19:00,57.28,EUR,
3931,13.06.2023 19:00 - 13.06.2023 20:00,59.88,EUR,
3932,13.06.2023 20:00 - 13.06.2023 21:00,59.92,EUR,
3933,13.06.2023 21:00 - 13.06.2023 22:00,58.16,EUR,
3934,13.06.2023 22:00 - 13.06.2023 23:00,56.64,EUR,
3935,13.06.2023 23:00 - 14.06.2023 00:00,54.76,EUR,
3936,14.06.2023 00:00 - 14.06.2023 01:00,56.37,EUR,
3937,14.06.2023 01:00 - 14.06.2023 02:00,56.31,EUR,
3938,14.06.2023 02:00 - 14.06.2023 03:00,56.25,EUR,
3939,14.06.2023 03:00 - 14.06.2023 04:00,56.01,EUR,
3940,14.06.2023 04:00 - 14.06.2023 05:00,57.08,EUR,
3941,14.06.2023 05:00 - 14.06.2023 06:00,61.77,EUR,
3942,14.06.2023 06:00 - 14.06.2023 07:00,65.45,EUR,
3943,14.06.2023 07:00 - 14.06.2023 08:00,70.23,EUR,
3944,14.06.2023 08:00 - 14.06.2023 09:00,73.83,EUR,
3945,14.06.2023 09:00 - 14.06.2023 10:00,71.68,EUR,
3946,14.06.2023 10:00 - 14.06.2023 11:00,70.05,EUR,
3947,14.06.2023 11:00 - 14.06.2023 12:00,67.59,EUR,
3948,14.06.2023 12:00 - 14.06.2023 13:00,69.91,EUR,
3949,14.06.2023 13:00 - 14.06.2023 14:00,68.34,EUR,
3950,14.06.2023 14:00 - 14.06.2023 15:00,68.46,EUR,
3951,14.06.2023 15:00 - 14.06.2023 16:00,70.01,EUR,
3952,14.06.2023 16:00 - 14.06.2023 17:00,71.39,EUR,
3953,14.06.2023 17:00 - 14.06.2023 18:00,74.06,EUR,
3954,14.06.2023 18:00 - 14.06.2023 19:00,72.27,EUR,
3955,14.06.2023 19:00 - 14.06.2023 20:00,71.98,EUR,
3956,14.06.2023 20:00 - 14.06.2023 21:00,70.04,EUR,
3957,14.06.2023 21:00 - 14.06.2023 22:00,63.49,EUR,
3958,14.06.2023 22:00 - 14.06.2023 23:00,57.69,EUR,
3959,14.06.2023 23:00 - 15.06.2023 00:00,50.48,EUR,
3960,15.06.2023 00:00 - 15.06.2023 01:00,52.65,EUR,
3961,15.06.2023 01:00 - 15.06.2023 02:00,48.47,EUR,
3962,15.06.2023 02:00 - 15.06.2023 03:00,48.34,EUR,
3963,15.06.2023 03:00 - 15.06.2023 04:00,50.26,EUR,
3964,15.06.2023 04:00 - 15.06.2023 05:00,51.87,EUR,
3965,15.06.2023 05:00 - 15.06.2023 06:00,58.5,EUR,
3966,15.06.2023 06:00 - 15.06.2023 07:00,60.69,EUR,
3967,15.06.2023 07:00 - 15.06.2023 08:00,67.46,EUR,
3968,15.06.2023 08:00 - 15.06.2023 09:00,72.26,EUR,
3969,15.06.2023 09:00 - 15.06.2023 10:00,69.9,EUR,
3970,15.06.2023 10:00 - 15.06.2023 11:00,68.54,EUR,
3971,15.06.2023 11:00 - 15.06.2023 12:00,67.73,EUR,
3972,15.06.2023 12:00 - 15.06.2023 13:00,68.07,EUR,
3973,15.06.2023 13:00 - 15.06.2023 14:00,70.15,EUR,
3974,15.06.2023 14:00 - 15.06.2023 15:00,69.94,EUR,
3975,15.06.2023 15:00 - 15.06.2023 16:00,68.0,EUR,
3976,15.06.2023 16:00 - 15.06.2023 17:00,67.02,EUR,
3977,15.06.2023 17:00 - 15.06.2023 18:00,67.91,EUR,
3978,15.06.2023 18:00 - 15.06.2023 19:00,69.91,EUR,
3979,15.06.2023 19:00 - 15.06.2023 20:00,68.69,EUR,
3980,15.06.2023 20:00 - 15.06.2023 21:00,63.62,EUR,
3981,15.06.2023 21:00 - 15.06.2023 22:00,60.47,EUR,
3982,15.06.2023 22:00 - 15.06.2023 23:00,56.84,EUR,
3983,15.06.2023 23:00 - 16.06.2023 00:00,51.48,EUR,
3984,16.06.2023 00:00 - 16.06.2023 01:00,63.01,EUR,
3985,16.06.2023 01:00 - 16.06.2023 02:00,61.03,EUR,
3986,16.06.2023 02:00 - 16.06.2023 03:00,59.99,EUR,
3987,16.06.2023 03:00 - 16.06.2023 04:00,56.25,EUR,
3988,16.06.2023 04:00 - 16.06.2023 05:00,60.96,EUR,
3989,16.06.2023 05:00 - 16.06.2023 06:00,63.53,EUR,
3990,16.06.2023 06:00 - 16.06.2023 07:00,61.35,EUR,
3991,16.06.2023 07:00 - 16.06.2023 08:00,74.53,EUR,
3992,16.06.2023 08:00 - 16.06.2023 09:00,86.59,EUR,
3993,16.06.2023 09:00 - 16.06.2023 10:00,86.78,EUR,
3994,16.06.2023 10:00 - 16.06.2023 11:00,77.99,EUR,
3995,16.06.2023 11:00 - 16.06.2023 12:00,68.76,EUR,
3996,16.06.2023 12:00 - 16.06.2023 13:00,66.94,EUR,
3997,16.06.2023 13:00 - 16.06.2023 14:00,64.66,EUR,
3998,16.06.2023 14:00 - 16.06.2023 15:00,62.6,EUR,
3999,16.06.2023 15:00 - 16.06.2023 16:00,62.7,EUR,
4000,16.06.2023 16:00 - 16.06.2023 17:00,64.08,EUR,
4001,16.06.2023 17:00 - 16.06.2023 18:00,65.94,EUR,
4002,16.06.2023 18:00 - 16.06.2023 19:00,66.58,EUR,
4003,16.06.2023 19:00 - 16.06.2023 20:00,64.16,EUR,
4004,16.06.2023 20:00 - 16.06.2023 21:00,59.69,EUR,
4005,16.06.2023 21:00 - 16.06.2023 22:00,55.86,EUR,
4006,16.06.2023 22:00 - 16.06.2023 23:00,51.2,EUR,
4007,16.06.2023 23:00 - 17.06.2023 00:00,38.56,EUR,
4008,17.06.2023 00:00 - 17.06.2023 01:00,47.58,EUR,
4009,17.06.2023 01:00 - 17.06.2023 02:00,45.38,EUR,
4010,17.06.2023 02:00 - 17.06.2023 03:00,47.18,EUR,
4011,17.06.2023 03:00 - 17.06.2023 04:00,50.27,EUR,
4012,17.06.2023 04:00 - 17.06.2023 05:00,50.49,EUR,
4013,17.06.2023 05:00 - 17.06.2023 06:00,51.84,EUR,
4014,17.06.2023 06:00 - 17.06.2023 07:00,53.16,EUR,
4015,17.06.2023 07:00 - 17.06.2023 08:00,54.68,EUR,
4016,17.06.2023 08:00 - 17.06.2023 09:00,55.63,EUR,
4017,17.06.2023 09:00 - 17.06.2023 10:00,55.07,EUR,
4018,17.06.2023 10:00 - 17.06.2023 11:00,54.46,EUR,
4019,17.06.2023 11:00 - 17.06.2023 12:00,53.83,EUR,
4020,17.06.2023 12:00 - 17.06.2023 13:00,55.31,EUR,
4021,17.06.2023 13:00 - 17.06.2023 14:00,48.4,EUR,
4022,17.06.2023 14:00 - 17.06.2023 15:00,40.34,EUR,
4023,17.06.2023 15:00 - 17.06.2023 16:00,55.11,EUR,
4024,17.06.2023 16:00 - 17.06.2023 17:00,55.65,EUR,
4025,17.06.2023 17:00 - 17.06.2023 18:00,57.5,EUR,
4026,17.06.2023 18:00 - 17.06.2023 19:00,58.86,EUR,
4027,17.06.2023 19:00 - 17.06.2023 20:00,57.75,EUR,
4028,17.06.2023 20:00 - 17.06.2023 21:00,54.52,EUR,
4029,17.06.2023 21:00 - 17.06.2023 22:00,53.01,EUR,
4030,17.06.2023 22:00 - 17.06.2023 23:00,50.86,EUR,
4031,17.06.2023 23:00 - 18.06.2023 00:00,42.24,EUR,
4032,18.06.2023 00:00 - 18.06.2023 01:00,37.35,EUR,
4033,18.06.2023 01:00 - 18.06.2023 02:00,24.58,EUR,
4034,18.06.2023 02:00 - 18.06.2023 03:00,24.43,EUR,
4035,18.06.2023 03:00 - 18.06.2023 04:00,24.24,EUR,
4036,18.06.2023 04:00 - 18.06.2023 05:00,26.9,EUR,
4037,18.06.2023 05:00 - 18.06.2023 06:00,42.8,EUR,
4038,18.06.2023 06:00 - 18.06.2023 07:00,47.48,EUR,
4039,18.06.2023 07:00 - 18.06.2023 08:00,50.36,EUR,
4040,18.06.2023 08:00 - 18.06.2023 09:00,52.83,EUR,
4041,18.06.2023 09:00 - 18.06.2023 10:00,54.92,EUR,
4042,18.06.2023 10:00 - 18.06.2023 11:00,55.96,EUR,
4043,18.06.2023 11:00 - 18.06.2023 12:00,52.36,EUR,
4044,18.06.2023 12:00 - 18.06.2023 13:00,45.79,EUR,
4045,18.06.2023 13:00 - 18.06.2023 14:00,30.1,EUR,
4046,18.06.2023 14:00 - 18.06.2023 15:00,25.79,EUR,
4047,18.06.2023 15:00 - 18.06.2023 16:00,48.98,EUR,
4048,18.06.2023 16:00 - 18.06.2023 17:00,56.19,EUR,
4049,18.06.2023 17:00 - 18.06.2023 18:00,56.2,EUR,
4050,18.06.2023 18:00 - 18.06.2023 19:00,57.0,EUR,
4051,18.06.2023 19:00 - 18.06.2023 20:00,56.89,EUR,
4052,18.06.2023 20:00 - 18.06.2023 21:00,55.12,EUR,
4053,18.06.2023 21:00 - 18.06.2023 22:00,53.56,EUR,
4054,18.06.2023 22:00 - 18.06.2023 23:00,51.27,EUR,
4055,18.06.2023 23:00 - 19.06.2023 00:00,49.54,EUR,
4056,19.06.2023 00:00 - 19.06.2023 01:00,49.34,EUR,
4057,19.06.2023 01:00 - 19.06.2023 02:00,47.34,EUR,
4058,19.06.2023 02:00 - 19.06.2023 03:00,48.13,EUR,
4059,19.06.2023 03:00 - 19.06.2023 04:00,49.84,EUR,
4060,19.06.2023 04:00 - 19.06.2023 05:00,53.24,EUR,
4061,19.06.2023 05:00 - 19.06.2023 06:00,56.85,EUR,
4062,19.06.2023 06:00 - 19.06.2023 07:00,72.62,EUR,
4063,19.06.2023 07:00 - 19.06.2023 08:00,88.1,EUR,
4064,19.06.2023 08:00 - 19.06.2023 09:00,128.39,EUR,
4065,19.06.2023 09:00 - 19.06.2023 10:00,115.65,EUR,
4066,19.06.2023 10:00 - 19.06.2023 11:00,96.31,EUR,
4067,19.06.2023 11:00 - 19.06.2023 12:00,89.95,EUR,
4068,19.06.2023 12:00 - 19.06.2023 13:00,87.58,EUR,
4069,19.06.2023 13:00 - 19.06.2023 14:00,86.31,EUR,
4070,19.06.2023 14:00 - 19.06.2023 15:00,85.38,EUR,
4071,19.06.2023 15:00 - 19.06.2023 16:00,84.97,EUR,
4072,19.06.2023 16:00 - 19.06.2023 17:00,84.34,EUR,
4073,19.06.2023 17:00 - 19.06.2023 18:00,85.2,EUR,
4074,19.06.2023 18:00 - 19.06.2023 19:00,85.07,EUR,
4075,19.06.2023 19:00 - 19.06.2023 20:00,84.53,EUR,
4076,19.06.2023 20:00 - 19.06.2023 21:00,84.07,EUR,
4077,19.06.2023 21:00 - 19.06.2023 22:00,75.0,EUR,
4078,19.06.2023 22:00 - 19.06.2023 23:00,62.5,EUR,
4079,19.06.2023 23:00 - 20.06.2023 00:00,57.73,EUR,
4080,20.06.2023 00:00 - 20.06.2023 01:00,56.43,EUR,
4081,20.06.2023 01:00 - 20.06.2023 02:00,55.97,EUR,
4082,20.06.2023 02:00 - 20.06.2023 03:00,55.74,EUR,
4083,20.06.2023 03:00 - 20.06.2023 04:00,55.33,EUR,
4084,20.06.2023 04:00 - 20.06.2023 05:00,55.75,EUR,
4085,20.06.2023 05:00 - 20.06.2023 06:00,55.97,EUR,
4086,20.06.2023 06:00 - 20.06.2023 07:00,58.91,EUR,
4087,20.06.2023 07:00 - 20.06.2023 08:00,67.53,EUR,
4088,20.06.2023 08:00 - 20.06.2023 09:00,78.51,EUR,
4089,20.06.2023 09:00 - 20.06.2023 10:00,69.15,EUR,
4090,20.06.2023 10:00 - 20.06.2023 11:00,65.05,EUR,
4091,20.06.2023 11:00 - 20.06.2023 12:00,62.07,EUR,
4092,20.06.2023 12:00 - 20.06.2023 13:00,63.52,EUR,
4093,20.06.2023 13:00 - 20.06.2023 14:00,59.68,EUR,
4094,20.06.2023 14:00 - 20.06.2023 15:00,58.84,EUR,
4095,20.06.2023 15:00 - 20.06.2023 16:00,59.43,EUR,
4096,20.06.2023 16:00 - 20.06.2023 17:00,61.65,EUR,
4097,20.06.2023 17:00 - 20.06.2023 18:00,64.45,EUR,
4098,20.06.2023 18:00 - 20.06.2023 19:00,68.6,EUR,
4099,20.06.2023 19:00 - 20.06.2023 20:00,70.64,EUR,
4100,20.06.2023 20:00 - 20.06.2023 21:00,62.68,EUR,
4101,20.06.2023 21:00 - 20.06.2023 22:00,60.21,EUR,
4102,20.06.2023 22:00 - 20.06.2023 23:00,57.27,EUR,
4103,20.06.2023 23:00 - 21.06.2023 00:00,55.86,EUR,
4104,21.06.2023 00:00 - 21.06.2023 01:00,56.03,EUR,
4105,21.06.2023 01:00 - 21.06.2023 02:00,51.4,EUR,
4106,21.06.2023 02:00 - 21.06.2023 03:00,47.96,EUR,
4107,21.06.2023 03:00 - 21.06.2023 04:00,48.23,EUR,
4108,21.06.2023 04:00 - 21.06.2023 05:00,53.53,EUR,
4109,21.06.2023 05:00 - 21.06.2023 06:00,56.61,EUR,
4110,21.06.2023 06:00 - 21.06.2023 07:00,58.61,EUR,
4111,21.06.2023 07:00 - 21.06.2023 08:00,66.93,EUR,
4112,21.06.2023 08:00 - 21.06.2023 09:00,77.35,EUR,
4113,21.06.2023 09:00 - 21.06.2023 10:00,69.5,EUR,
4114,21.06.2023 10:00 - 21.06.2023 11:00,63.55,EUR,
4115,21.06.2023 11:00 - 21.06.2023 12:00,59.2,EUR,
4116,21.06.2023 12:00 - 21.06.2023 13:00,59.26,EUR,
4117,21.06.2023 13:00 - 21.06.2023 14:00,58.36,EUR,
4118,21.06.2023 14:00 - 21.06.2023 15:00,58.19,EUR,
4119,21.06.2023 15:00 - 21.06.2023 16:00,58.49,EUR,
4120,21.06.2023 16:00 - 21.06.2023 17:00,58.6,EUR,
4121,21.06.2023 17:00 - 21.06.2023 18:00,59.22,EUR,
4122,21.06.2023 18:00 - 21.06.2023 19:00,59.55,EUR,
4123,21.06.2023 19:00 - 21.06.2023 20:00,58.78,EUR,
4124,21.06.2023 20:00 - 21.06.2023 21:00,56.91,EUR,
4125,21.06.2023 21:00 - 21.06.2023 22:00,55.76,EUR,
4126,21.06.2023 22:00 - 21.06.2023 23:00,51.0,EUR,
4127,21.06.2023 23:00 - 22.06.2023 00:00,45.37,EUR,
4128,22.06.2023 00:00 - 22.06.2023 01:00,47.82,EUR,
4129,22.06.2023 01:00 - 22.06.2023 02:00,45.31,EUR,
4130,22.06.2023 02:00 - 22.06.2023 03:00,41.45,EUR,
4131,22.06.2023 03:00 - 22.06.2023 04:00,41.07,EUR,
4132,22.06.2023 04:00 - 22.06.2023 05:00,45.35,EUR,
4133,22.06.2023 05:00 - 22.06.2023 06:00,49.86,EUR,
4134,22.06.2023 06:00 - 22.06.2023 07:00,50.57,EUR,
4135,22.06.2023 07:00 - 22.06.2023 08:00,55.23,EUR,
4136,22.06.2023 08:00 - 22.06.2023 09:00,59.51,EUR,
4137,22.06.2023 09:00 - 22.06.2023 10:00,59.19,EUR,
4138,22.06.2023 10:00 - 22.06.2023 11:00,52.91,EUR,
4139,22.06.2023 11:00 - 22.06.2023 12:00,51.42,EUR,
4140,22.06.2023 12:00 - 22.06.2023 13:00,50.11,EUR,
4141,22.06.2023 13:00 - 22.06.2023 14:00,48.59,EUR,
4142,22.06.2023 14:00 - 22.06.2023 15:00,48.02,EUR,
4143,22.06.2023 15:00 - 22.06.2023 16:00,46.72,EUR,
4144,22.06.2023 16:00 - 22.06.2023 17:00,42.06,EUR,
4145,22.06.2023 17:00 - 22.06.2023 18:00,44.6,EUR,
4146,22.06.2023 18:00 - 22.06.2023 19:00,48.24,EUR,
4147,22.06.2023 19:00 - 22.06.2023 20:00,48.9,EUR,
4148,22.06.2023 20:00 - 22.06.2023 21:00,48.91,EUR,
4149,22.06.2023 21:00 - 22.06.2023 22:00,48.98,EUR,
4150,22.06.2023 22:00 - 22.06.2023 23:00,47.02,EUR,
4151,22.06.2023 23:00 - 23.06.2023 00:00,22.27,EUR,
4152,23.06.2023 00:00 - 23.06.2023 01:00,16.3,EUR,
4153,23.06.2023 01:00 - 23.06.2023 02:00,9.92,EUR,
4154,23.06.2023 02:00 - 23.06.2023 03:00,3.71,EUR,
4155,23.06.2023 03:00 - 23.06.2023 04:00,2.27,EUR,
4156,23.06.2023 04:00 - 23.06.2023 05:00,3.39,EUR,
4157,23.06.2023 05:00 - 23.06.2023 06:00,10.43,EUR,
4158,23.06.2023 06:00 - 23.06.2023 07:00,17.48,EUR,
4159,23.06.2023 07:00 - 23.06.2023 08:00,31.56,EUR,
4160,23.06.2023 08:00 - 23.06.2023 09:00,19.36,EUR,
4161,23.06.2023 09:00 - 23.06.2023 10:00,17.39,EUR,
4162,23.06.2023 10:00 - 23.06.2023 11:00,16.18,EUR,
4163,23.06.2023 11:00 - 23.06.2023 12:00,10.22,EUR,
4164,23.06.2023 12:00 - 23.06.2023 13:00,5.4,EUR,
4165,23.06.2023 13:00 - 23.06.2023 14:00,2.62,EUR,
4166,23.06.2023 14:00 - 23.06.2023 15:00,2.26,EUR,
4167,23.06.2023 15:00 - 23.06.2023 16:00,2.23,EUR,
4168,23.06.2023 16:00 - 23.06.2023 17:00,3.4,EUR,
4169,23.06.2023 17:00 - 23.06.2023 18:00,12.08,EUR,
4170,23.06.2023 18:00 - 23.06.2023 19:00,17.04,EUR,
4171,23.06.2023 19:00 - 23.06.2023 20:00,16.8,EUR,
4172,23.06.2023 20:00 - 23.06.2023 21:00,16.25,EUR,
4173,23.06.2023 21:00 - 23.06.2023 22:00,16.07,EUR,
4174,23.06.2023 22:00 - 23.06.2023 23:00,14.9,EUR,
4175,23.06.2023 23:00 - 24.06.2023 00:00,9.96,EUR,
4176,24.06.2023 00:00 - 24.06.2023 01:00,4.5,EUR,
4177,24.06.2023 01:00 - 24.06.2023 02:00,2.99,EUR,
4178,24.06.2023 02:00 - 24.06.2023 03:00,2.28,EUR,
4179,24.06.2023 03:00 - 24.06.2023 04:00,2.26,EUR,
4180,24.06.2023 04:00 - 24.06.2023 05:00,3.45,EUR,
4181,24.06.2023 05:00 - 24.06.2023 06:00,10.01,EUR,
4182,24.06.2023 06:00 - 24.06.2023 07:00,16.59,EUR,
4183,24.06.2023 07:00 - 24.06.2023 08:00,18.58,EUR,
4184,24.06.2023 08:00 - 24.06.2023 09:00,20.22,EUR,
4185,24.06.2023 09:00 - 24.06.2023 10:00,21.34,EUR,
4186,24.06.2023 10:00 - 24.06.2023 11:00,21.86,EUR,
4187,24.06.2023 11:00 - 24.06.2023 12:00,21.93,EUR,
4188,24.06.2023 12:00 - 24.06.2023 13:00,14.99,EUR,
4189,24.06.2023 13:00 - 24.06.2023 14:00,1.9,EUR,
4190,24.06.2023 14:00 - 24.06.2023 15:00,0.31,EUR,
4191,24.06.2023 15:00 - 24.06.2023 16:00,10.0,EUR,
4192,24.06.2023 16:00 - 24.06.2023 17:00,27.52,EUR,
4193,24.06.2023 17:00 - 24.06.2023 18:00,51.99,EUR,
4194,24.06.2023 18:00 - 24.06.2023 19:00,51.01,EUR,
4195,24.06.2023 19:00 - 24.06.2023 20:00,53.07,EUR,
4196,24.06.2023 20:00 - 24.06.2023 21:00,52.01,EUR,
4197,24.06.2023 21:00 - 24.06.2023 22:00,50.36,EUR,
4198,24.06.2023 22:00 - 24.06.2023 23:00,45.3,EUR,
4199,24.06.2023 23:00 - 25.06.2023 00:00,38.52,EUR,
4200,25.06.2023 00:00 - 25.06.2023 01:00,49.47,EUR,
4201,25.06.2023 01:00 - 25.06.2023 02:00,45.69,EUR,
4202,25.06.2023 02:00 - 25.06.2023 03:00,38.12,EUR,
4203,25.06.2023 03:00 - 25.06.2023 04:00,34.78,EUR,
4204,25.06.2023 04:00 - 25.06.2023 05:00,42.65,EUR,
4205,25.06.2023 05:00 - 25.06.2023 06:00,46.39,EUR,
4206,25.06.2023 06:00 - 25.06.2023 07:00,53.59,EUR,
4207,25.06.2023 07:00 - 25.06.2023 08:00,55.85,EUR,
4208,25.06.2023 08:00 - 25.06.2023 09:00,54.0,EUR,
4209,25.06.2023 09:00 - 25.06.2023 10:00,32.55,EUR,
4210,25.06.2023 10:00 - 25.06.2023 11:00,9.92,EUR,
4211,25.06.2023 11:00 - 25.06.2023 12:00,0.19,EUR,
4212,25.06.2023 12:00 - 25.06.2023 13:00,0.89,EUR,
4213,25.06.2023 13:00 - 25.06.2023 14:00,0.99,EUR,
4214,25.06.2023 14:00 - 25.06.2023 15:00,0.96,EUR,
4215,25.06.2023 15:00 - 25.06.2023 16:00,5.53,EUR,
4216,25.06.2023 16:00 - 25.06.2023 17:00,21.65,EUR,
4217,25.06.2023 17:00 - 25.06.2023 18:00,59.23,EUR,
4218,25.06.2023 18:00 - 25.06.2023 19:00,61.9,EUR,
4219,25.06.2023 19:00 - 25.06.2023 20:00,61.5,EUR,
4220,25.06.2023 20:00 - 25.06.2023 21:00,60.54,EUR,
4221,25.06.2023 21:00 - 25.06.2023 22:00,60.03,EUR,
4222,25.06.2023 22:00 - 25.06.2023 23:00,58.5,EUR,
4223,25.06.2023 23:00 - 26.06.2023 00:00,56.25,EUR,
4224,26.06.2023 00:00 - 26.06.2023 01:00,64.9,EUR,
4225,26.06.2023 01:00 - 26.06.2023 02:00,60.47,EUR,
4226,26.06.2023 02:00 - 26.06.2023 03:00,59.91,EUR,
4227,26.06.2023 03:00 - 26.06.2023 04:00,59.16,EUR,
4228,26.06.2023 04:00 - 26.06.2023 05:00,59.43,EUR,
4229,26.06.2023 05:00 - 26.06.2023 06:00,64.96,EUR,
4230,26.06.2023 06:00 - 26.06.2023 07:00,74.03,EUR,
4231,26.06.2023 07:00 - 26.06.2023 08:00,129.71,EUR,
4232,26.06.2023 08:00 - 26.06.2023 09:00,120.58,EUR,
